Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
16,D$_1$,F1,1,-0.9994572420546272,Distance,Standard
16,D$_5$,F1,2,-0.9994572420546272,Distance,Standard
16,D$_7$,F1,3,-0.9994572420546272,Distance,Standard
16,D$_8$,F1,4,-0.9994572420546272,Distance,Standard
16,D$_9$,F1,5,-0.9994572420546272,Distance,Standard
16,D$_{10}$,F1,6,-0.9994572420546272,Distance,Standard
16,D$_{12}$,F1,7,-0.9994572420546272,Distance,Standard
16,Hi$_{max}$,F1,8,-0.6886206764299971,Baseline,Standard
16,He$_{max}$,F1,9,-0.6623555391777529,Baseline,Standard
16,He$_{mean}$,F1,10,-0.3007751190855623,Baseline,Standard
16,D$_2$,F1,11,-0.1,Distance,Standard
16,D$_3$,F1,12,-0.1,Distance,Standard
16,D$_{11}$,F1,13,-0.1,Distance,Standard
16,Hi$_{mean}$,F1,14,-0.096133872434925,Baseline,Standard
16,D$_4$,F1,15,-8.139690582209536e-05,Distance,Standard
16,D$_6$,F1,16,-8.139690582203984e-05,Distance,Standard
